# Copyright (C) 2019  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 19.1.0 Build 670 09/22/2019 SJ Standard Edition
# File: /u/home/stud/flxbrggr/dev/HDS/RISCV/riscv_v2.csv
# Generated on: Tue Jul 19 13:25:08 2022

Status,From,To,Assignment Name,Value,Enabled,Entity,Comment,Tag
Ok,,hex_disp2[4],I/O Standard,2.5 V,Yes,riscv,,
Ok,,hex_disp2[3],Location,PIN_V22,Yes,,,
Ok,,hex_disp2[3],I/O Standard,2.5 V,Yes,riscv,,
Ok,,hex_disp2[2],Location,PIN_U20,Yes,,,
Ok,,hex_disp2[2],I/O Standard,2.5 V,Yes,riscv,,
Ok,,hex_disp2[1],Location,PIN_AD6,Yes,,,
Ok,,hex_disp2[1],I/O Standard,2.5 V,Yes,riscv,,
Ok,,hex_disp2[0],Location,PIN_AD7,Yes,,,
Ok,,hex_disp2[0],I/O Standard,2.5 V,Yes,riscv,,
Ok,,hex_disp3[6],Location,PIN_AC22,Yes,,,
Ok,,hex_disp3[6],I/O Standard,2.5 V,Yes,riscv,,
Ok,,hex_disp3[5],Location,PIN_AC23,Yes,,,
Ok,,hex_disp3[5],I/O Standard,2.5 V,Yes,riscv,,
Ok,,hex_disp3[4],Location,PIN_AC24,Yes,,,
Ok,,hex_disp3[4],I/O Standard,2.5 V,Yes,riscv,,
Ok,,hex_disp3[3],Location,PIN_AA22,Yes,,,
Ok,,hex_disp3[3],I/O Standard,2.5 V,Yes,riscv,,
Ok,,hex_disp3[2],Location,PIN_AA23,Yes,,,
Ok,,hex_disp3[2],I/O Standard,2.5 V,Yes,riscv,,
Ok,,hex_disp3[1],Location,PIN_Y23,Yes,,,
Ok,,hex_disp3[1],I/O Standard,2.5 V,Yes,riscv,,
Ok,,hex_disp3[0],Location,PIN_Y24,Yes,,,
Ok,,hex_disp3[0],I/O Standard,2.5 V,Yes,riscv,,
Ok,,keys[3],Location,PIN_Y16,Yes,,,
Ok,,keys[3],I/O Standard,2.5 V,Yes,riscv,,
Ok,,keys[2],Location,PIN_Y15,Yes,,,
Ok,,keys[2],I/O Standard,2.5 V,Yes,riscv,,
Ok,,keys[1],Location,PIN_P12,Yes,,,
Ok,,keys[1],I/O Standard,2.5 V,Yes,riscv,,
Ok,,keys[0],Location,PIN_P11,Yes,,,
Ok,,keys[0],I/O Standard,2.5 V,Yes,riscv,,
Ok,,leds_green[7],Location,PIN_H9,Yes,,,
Ok,,leds_green[7],I/O Standard,2.5 V,Yes,riscv,,
Ok,,leds_green[6],Location,PIN_H8,Yes,,,
Ok,,leds_green[6],I/O Standard,2.5 V,Yes,riscv,,
Ok,,leds_green[5],Location,PIN_B6,Yes,,,
Ok,,leds_green[5],I/O Standard,2.5 V,Yes,riscv,,
Ok,,leds_green[4],Location,PIN_A5,Yes,,,
Ok,,leds_green[4],I/O Standard,2.5 V,Yes,riscv,,
Ok,,leds_green[3],Location,PIN_E9,Yes,,,
Ok,,leds_green[3],I/O Standard,2.5 V,Yes,riscv,,
Ok,,leds_green[2],Location,PIN_D8,Yes,,,
Ok,,leds_green[2],I/O Standard,2.5 V,Yes,riscv,,
Ok,,leds_green[1],Location,PIN_K6,Yes,,,
Ok,,leds_green[1],I/O Standard,2.5 V,Yes,riscv,,
Ok,,leds_green[0],Location,PIN_L7,Yes,,,
Ok,,leds_green[0],I/O Standard,2.5 V,Yes,riscv,,
Ok,,leds_red[9],Location,PIN_J10,Yes,,,
Ok,,leds_red[9],I/O Standard,2.5 V,Yes,riscv,,
Ok,,leds_red[8],Location,PIN_H7,Yes,,,
Ok,,leds_red[8],I/O Standard,2.5 V,Yes,riscv,,
Ok,,leds_red[7],Location,PIN_K8,Yes,,,
Ok,,leds_red[7],I/O Standard,2.5 V,Yes,riscv,,
Ok,,leds_red[6],Location,PIN_K10,Yes,,,
Ok,,leds_red[6],I/O Standard,2.5 V,Yes,riscv,,
Ok,,leds_red[5],Location,PIN_J7,Yes,,,
Ok,,leds_red[5],I/O Standard,2.5 V,Yes,riscv,,
Ok,,leds_red[4],Location,PIN_J8,Yes,,,
Ok,,leds_red[4],I/O Standard,2.5 V,Yes,riscv,,
Ok,,leds_red[3],Location,PIN_G7,Yes,,,
Ok,,leds_red[3],I/O Standard,2.5 V,Yes,riscv,,
Ok,,leds_red[2],Location,PIN_G6,Yes,,,
Ok,,leds_red[2],I/O Standard,2.5 V,Yes,riscv,,
Ok,,leds_red[1],Location,PIN_F6,Yes,,,
Ok,,leds_red[1],I/O Standard,2.5 V,Yes,riscv,,
Ok,,leds_red[0],Location,PIN_F7,Yes,,,
Ok,,leds_red[0],I/O Standard,2.5 V,Yes,riscv,,
Ok,,res_n,Location,PIN_AB24,Yes,,,
Ok,,res_n,I/O Standard,2.5 V,Yes,riscv,,
Ok,,cs_bo,Location,PIN_W8,Yes,,,
Ok,,miso_i,Location,PIN_U7,Yes,,,
Ok,,sclk,Location,PIN_AB6,Yes,,,
,<<new>>,<<new>>,<<new>>,,,,,
